Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
Kennesaw State,Eastern Kentucky,1,3,Atlantic Sun,Atlantic Sun
Kent State,Akron,2,1,MAC,MAC
LIU,Le Moyne,0,3,Northeast,Northeast
LSU,Mississippi State,1,2,SEC,SEC
La Salle,Richmond,0,3,A10,A10
Lehigh,Boston University,2,2,Patriot,Patriot
Liberty,Sam Houston State,0,6,C-USA,C-USA
Long Beach State,UC Santa Barbara,1,4,Big West,Big West
Longwood,Charleston Southern,1,0,Big South,Big South
Louisiana,Louisiana-Monroe,0,1,Sun Belt,Sun Belt
Louisiana Tech,UTEP,2,2,C-USA,C-USA
Loyola-Chicago,George Washington,4,0,A10,A10
Marquette,Butler,0,2,Big East,Big East
Marshall,South Alabama,0,2,Sun Belt,Sun Belt
Maryland,Ohio State,0,1,Big Ten,Big Ten
Massachusetts-Lowell,NJIT,2,0,Am East,Am East
Mercer,UNC Greensboro,1,1,Southern,Southern
Miami (FL),Louisville,0,1,ACC,ACC
Miami (OH),Central Michigan,2,1,MAC,MAC
Mississippi,Auburn,0,0,SEC,SEC
Missouri State,Belmont,0,2,MVC,MVC
Monmouth,Stony Brook,1,0,CAA,CAA
Morehead State,Western Illinois,0,0,OVC,OVC
Murray State,Evansville,0,0,MVC,MVC
New Mexico State,Middle Tennessee,3,2,C-USA,C-USA
Nicholls,McNeese State,3,0,Southland,Southland
North Alabama,FGCU,1,0,Atlantic Sun,Atlantic Sun
North Dakota,UMKC,0,0,Summit,Summit
North Dakota State,Omaha,2,2,Summit,Summit
North Florida,Austin Peay,0,3,Atlantic Sun,Atlantic Sun
Northeastern,Hampton University,0,10,CAA,CAA
Northern Colorado,Sacramento State,2,2,Big Sky,Big Sky
Northern Illinois,Toledo,1,1,MAC,MAC
Northern Iowa,Southern Illinois,0,3,MVC,MVC
Northern Kentucky,Purdue Fort Wayne,0,0,Horizon,Horizon
Oklahoma State,Kansas State,0,2,Big 12,Big 12
Portland State,Northern Arizona,0,0,Big Sky,Big Sky
Prairie View A&M,Grambling State,0,1,SWAC,SWAC
Queens (N.C.),Bellarmine,0,0,Atlantic Sun,Atlantic Sun
Robert Morris,Wright State,4,2,Horizon,Horizon
Rutgers,Purdue,0,1,Big Ten,Big Ten
SIUE,Lindenwood,0,1,OVC,OVC
San Jose State,San Diego State,2,2,Mountain West,Mountain West
South Dakota,South Dakota State,1,0,Summit,Summit
South Florida,Gonzaga,1,2,AAC,WCC
Southeast Missouri State,Eastern Illinois,2,0,OVC,OVC
Southeastern Louisiana,Incarnate Word,0,1,Southland,Southland
Southern Mississippi,Arkansas State,1,2,Sun Belt,Sun Belt
Southern University,Alcorn State,1,0,SWAC,SWAC
St. Bonaventure,Duquesne,0,2,A10,A10
Stephen F. Austin,Abilene Christian,0,2,WAC,WAC
Stonehill,St. Francis (Pa.),2,0,Northeast,Northeast
Syracuse,Virginia Tech,4,0,ACC,ACC
Tennessee Tech,Southern Indiana,0,7,OVC,OVC
Texas A&M-Commerce,Northwestern State,2,1,Southland,Southland
Texas Southern,Arkansas Pine Bluff,1,3,SWAC,SWAC
Texas State,Troy,1,1,Sun Belt,Sun Belt
The Citadel,UT Chattanooga,1,2,Southern,Southern
Towson,Drexel,3,5,CAA,CAA
UC Riverside,Hawaii,1,0,Big West,Big West
UCF,Kansas,0,1,Big 12,Big 12
UIC,Drake,3,1,MVC,MVC
UNC Wilmington,Hofstra,1,2,CAA,CAA
UT Martin,Little Rock,1,1,OVC,OVC
UTRGV,Tarleton State,0,1,WAC,WAC
VCU,Rhode Island,0,0,A10,A10
Villanova,Seton Hall,2,1,Big East,Big East
Weber State,Eastern Washington,1,2,Big Sky,Big Sky
West Virginia,TCU,1,5,Big 12,Big 12
Western Carolina,Furman,1,2,Southern,Southern
William & Mary,Elon,0,2,CAA,CAA
Wisconsin,Michigan State,1,0,Big Ten,Big Ten
Wofford,Samford,5,0,Southern,Southern
Wyoming,Nevada,0,1,Mountain West,Mountain West
Youngstown State,IUPUI,0,1,Horizon,Horizon
