Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Stonehill,La Salle,3,3,Northeast,A10,1,d1
Stony Brook,LIU,1,2,CAA,Northeast,1,d1
UC Davis,Dayton,2,0,Big West,A10,1,d1
UC Irvine,UNLV,1,0,Big West,WAC,1,d1
UC Riverside,Gonzaga,1,2,Big West,WCC,1,d1
UC San Diego,Pacific,1,2,Big West,WCC,1,d1
UIC,NJIT,3,1,MVC,Am East,1,d1
UNC Asheville,Navy,3,1,Big South,Patriot,1,d1
UNC Wilmington,American,2,1,CAA,Patriot,1,d1
USC Upstate,North Florida,1,0,Big South,Atlantic Sun,1,d1
Utah Valley,UMKC,4,0,WAC,Summit,1,d1
VCU,New Hampshire,1,1,A10,Am East,1,d1
Virginia,Iona University,1,0,ACC,MAAC,1,d1
Virginia Tech,UCLA,1,4,ACC,Pac-12,1,d1
West Virginia,California Baptist,3,0,Sun Belt,WAC,1,d1
William & Mary,Binghamton,2,1,CAA,Am East,1,d1
Wisconsin,Purdue Fort Wayne,1,0,Big Ten,Horizon,1,d1
Wisconsin-Green Bay,Memphis,0,2,Horizon,AAC,1,d1
Xavier,Wright State,1,1,Big East,Horizon,1,d1
Duke,Jacksonville,3,1,ACC,Atlantic Sun,1,d1
Portland,Sacramento State,3,0,WCC,Big West,1,d1
Elon,Furman,1,2,CAA,Southern,1,d1
Lafayette,Massachusetts-Lowell,1,1,Patriot,Am East,1,d1
Longwood,Hampden-Sydney,3,0,Big South,Old Dominion Athletic,1,d1
NC State,Radford,3,1,ACC,Big South,1,d1
UC Santa Barbara,Oral Roberts,0,4,Big West,Summit,1,d1
UC San Diego,San Jose State,1,2,Big West,WAC,1,d1
Washington,San Diego,0,2,Pac-12,WCC,1,d1
Duke,Furman,6,0,ACC,Southern,1,d1
Stanford,Georgetown,5,1,Pac-12,Big East,1,d1
Maryland,UNC Greensboro,2,0,Big Ten,Southern,1,d1
UC Irvine,Creighton,0,0,Big West,Big East,1,d1
Wake Forest,California,1,1,ACC,Pac-12,1,d1
Denver,Grand Canyon,3,0,Summit,WAC,1,d1
Tulsa,UTRGV,4,1,AAC,WAC,1,d1
High Point,Saint Peter's,1,1,Big South,MAAC,1,d1
Albany,Villanova,2,0,Am East,Big East,1,d1
Belmont,Florida Atlantic,1,1,MVC,AAC,1,d1
Bradley,UMKC,0,0,MVC,Summit,1,d1
CSUN,Dayton,2,2,Big West,A10,1,d1
Connecticut,Holy Cross,4,0,Big East,Patriot,1,d1
Duquesne,Virginia Tech,5,1,A10,ACC,1,d1
Elon,Jacksonville,1,0,CAA,Atlantic Sun,1,d1
Evansville,Cal State Fullerton,3,1,MVC,Big West,1,d1
Fairfield,Bryant,0,1,MAAC,Am East,1,d1
Georgia Southern,UNC Asheville,2,0,Sun Belt,Big South,1,d1
Gonzaga,Sacramento State,5,1,WCC,Big West,1,d1
Houston Christian,Omaha,4,1,OVC,Summit,1,d1
Incarnate Word,St. Bonaventure,1,1,OVC,A10,1,d1
James Madison,UCLA,1,0,Sun Belt,Pac-12,1,d1
Loyola (MD),Delaware,0,2,Patriot,CAA,1,d1
Loyola-Chicago,Lindenwood,2,0,A10,OVC,1,d1
Marist,Colgate,3,1,MAAC,Patriot,1,d1
Marquette,Purdue Fort Wayne,3,0,Big East,Horizon,1,d1
Michigan,California Baptist,2,0,Big Ten,WAC,1,d1
New Hampshire,Boston University,2,1,Am East,Patriot,1,d1
North Florida,College of Charleston,1,1,Atlantic Sun,CAA,1,d1
Northern Illinois,Memphis,1,3,MVC,AAC,1,d1
Northern Kentucky,FGCU,1,1,Horizon,Atlantic Sun,1,d1
Northwestern,NJIT,1,0,Big Ten,Am East,1,d1
Notre Dame,IUPUI,5,0,ACC,Horizon,1,d1
Ohio State,UC Davis,1,2,Big Ten,Big West,1,d1
Oregon State,UC Riverside,3,0,Pac-12,Big West,1,d1
Penn State,Le Moyne,4,0,Big Ten,Northeast,1,d1
Providence,Merrimack,2,0,Big East,Northeast,1,d1
Queens (N.C.),Winthrop,2,0,Atlantic Sun,Big South,1,d1
Rhode Island,Stonehill,3,0,A10,Northeast,1,d1
Robert Morris,Niagara,1,1,Horizon,MAAC,1,d1
SIUE,Butler,3,1,OVC,Big East,1,d1
San Francisco,Detroit Mercy,2,1,WCC,Horizon,1,d1
Seattle,South Florida,2,0,WAC,AAC,1,d1
Seton Hall,Air Force,3,0,Big East,WAC,1,d1
South Carolina,Gardner-Webb,0,2,Sun Belt,Big South,1,d1
Southern Indiana,Mercer,0,2,OVC,Southern,1,d1
St. Francis (Pa.),Fordham,1,1,Northeast,A10,1,d1
St. Mary's (CA),Utah Tech,1,2,WCC,WAC,1,d1
UCF,Stetson,2,1,Sun Belt,Atlantic Sun,1,d1
UIC,St. Thomas (Minn.),3,0,MVC,Summit,1,d1
Utah Valley,Western Michigan,1,3,WAC,MVC,1,d1
Virginia,Loyola Marymount,1,3,ACC,WCC,1,d1
Wisconsin,Drake,2,0,Big Ten,MVC,1,d1
Wisconsin-Green Bay,Western Illinois,1,0,Horizon,Summit,1,d1
Wisconsin-Milwaukee,Chicago State,2,3,Horizon,OVC,1,d1
Xavier,Oakland,2,1,Big East,Horizon,1,d1
