Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Liberty,Sam Houston State,6,0,C-USA,C-USA,6,d1
Long Beach State,UC Santa Barbara,4,1,Big West,Big West,6,d1
Longwood,Charleston Southern,0,1,Big South,Big South,6,d1
Louisiana,Louisiana-Monroe,0,1,Sun Belt,Sun Belt,6,d1
Louisiana Tech,UTEP,2,2,C-USA,C-USA,6,d1
Loyola-Chicago,George Washington,4,0,A10,A10,6,d1
Marquette,Butler,0,2,Big East,Big East,6,d1
Marshall,South Alabama,0,2,Sun Belt,Sun Belt,6,d1
Maryland,Ohio State,0,1,Big Ten,Big Ten,6,d1
Massachusetts-Lowell,NJIT,2,0,Am East,Am East,6,d1
Mercer,UNC Greensboro,1,1,Southern,Southern,6,d1
Miami (FL),Louisville,1,0,ACC,ACC,6,d1
Miami (OH),Central Michigan,1,2,MAC,MAC,6,d1
Mississippi,Auburn,0,0,SEC,SEC,6,d1
Missouri State,Belmont,2,0,MVC,MVC,6,d1
Monmouth,Stony Brook,1,0,CAA,CAA,6,d1
Morehead State,Western Illinois,0,0,OVC,OVC,6,d1
Murray State,Evansville,0,0,MVC,MVC,6,d1
New Mexico State,Middle Tennessee,3,2,C-USA,C-USA,6,d1
Nicholls,McNeese State,0,3,Southland,Southland,6,d1
North Alabama,FGCU,0,1,Atlantic Sun,Atlantic Sun,6,d1
North Dakota,UMKC,0,0,Summit,Summit,6,d1
North Dakota State,Omaha,2,2,Summit,Summit,6,d1
North Florida,Austin Peay,3,0,Atlantic Sun,Atlantic Sun,6,d1
Northeastern,Hampton University,10,0,CAA,CAA,6,d1
Northern Colorado,Sacramento State,2,2,Big Sky,Big Sky,6,d1
Northern Illinois,Toledo,1,1,MAC,MAC,6,d1
Northern Iowa,Southern Illinois,3,0,MVC,MVC,6,d1
Northern Kentucky,Purdue Fort Wayne,0,0,Horizon,Horizon,6,d1
Oklahoma State,Kansas State,2,0,Big 12,Big 12,6,d1
Portland State,Northern Arizona,0,0,Big Sky,Big Sky,6,d1
Prairie View A&M,Grambling State,0,1,SWAC,SWAC,6,d1
Queens (N.C.),Bellarmine,0,0,Atlantic Sun,Atlantic Sun,6,d1
Robert Morris,Wright State,4,2,Horizon,Horizon,6,d1
Rutgers,Purdue,1,0,Big Ten,Big Ten,6,d1
SIUE,Lindenwood,1,0,OVC,OVC,6,d1
San Jose State,San Diego State,2,2,Mountain West,Mountain West,6,d1
South Dakota,South Dakota State,0,1,Summit,Summit,6,d1
South Florida,Gonzaga,2,1,AAC,WCC,6,d1
Southeast Missouri State,Eastern Illinois,0,2,OVC,OVC,6,d1
Southeastern Louisiana,Incarnate Word,1,0,Southland,Southland,6,d1
Southern Mississippi,Arkansas State,2,1,Sun Belt,Sun Belt,6,d1
Southern University,Alcorn State,1,0,SWAC,SWAC,6,d1
St. Bonaventure,Duquesne,0,2,A10,A10,6,d1
Stephen F. Austin,Abilene Christian,0,2,WAC,WAC,6,d1
Stonehill,St. Francis (Pa.),0,2,Northeast,Northeast,6,d1
Syracuse,Virginia Tech,0,4,ACC,ACC,6,d1
Tennessee Tech,Southern Indiana,7,0,OVC,OVC,6,d1
Texas A&M-Commerce,Northwestern State,2,1,Southland,Southland,6,d1
Texas Southern,Arkansas Pine Bluff,1,3,SWAC,SWAC,6,d1
Texas State,Troy,1,1,Sun Belt,Sun Belt,6,d1
The Citadel,UT Chattanooga,1,2,Southern,Southern,6,d1
Towson,Drexel,5,3,CAA,CAA,6,d1
UC Riverside,Hawaii,1,0,Big West,Big West,6,d1
UCF,Kansas,1,0,Big 12,Big 12,6,d1
UIC,Drake,3,1,MVC,MVC,6,d1
UNC Wilmington,Hofstra,1,2,CAA,CAA,6,d1
UT Martin,Little Rock,1,1,OVC,OVC,6,d1
UTRGV,Tarleton State,0,1,WAC,WAC,6,d1
VCU,Rhode Island,0,0,A10,A10,6,d1
Villanova,Seton Hall,2,1,Big East,Big East,6,d1
Weber State,Eastern Washington,1,2,Big Sky,Big Sky,6,d1
West Virginia,TCU,1,5,Big 12,Big 12,6,d1
Western Carolina,Furman,1,2,Southern,Southern,6,d1
William & Mary,Elon,2,0,CAA,CAA,6,d1
Wisconsin,Michigan State,0,1,Big Ten,Big Ten,6,d1
Wofford,Samford,0,5,Southern,Southern,6,d1
Wyoming,Nevada,0,1,Mountain West,Mountain West,6,d1
Youngstown State,IUPUI,0,1,Horizon,Horizon,6,d1
