Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week
UTRGV,Southeastern Louisiana,2,0,WAC,Southland,1
VCU,Liberty,2,1,A10,C-USA,1
Wisconsin-Parkside,Drake,4,0,Great Lakes Valley,MVC,1
UC Irvine,Stanford,2,1,Big West,Pac-12,1
BYU,Cal State Fullerton,1,4,Big 12,Big West,1
Delaware State,Charleston Southern,3,0,Northeast,Big South,1
Northern Iowa,Viterbo,0,9,MVC,Midwest Collegiate,1
South Dakota,Southern Utah,0,0,Summit,WAC,1
South Dakota State,Augustana,0,6,Summit,Northern Sun,1
St. Thomas (Minn.),Niagara,7,0,Summit,MAAC,1
Western Kentucky,Union (Ky.),0,5,C-USA,Appalachian Athletic,1
North Carolina,California,1,3,ACC,Pac-12,1
TCU,Florida State,2,0,Big 12,ACC,1
Penn State,West Chester,0,8,Big Ten,PSAC,1
Virginia,Radford,0,8,ACC,Big South,1
Notre Dame,Ball State,0,3,ACC,MAC,1
UAB,Alabama,0,1,AAC,SEC,1
South Carolina,Jacksonville,6,0,SEC,Atlantic Sun,1
Texas,Rice,0,6,Big 12,AAC,1
Pittsburgh,Drexel,1,4,ACC,CAA,1
Northwestern,Kansas State,0,0,Big Ten,Big 12,1
Utah State,Saint Louis,2,0,Mountain West,A10,1
Michigan State,Bowling Green,3,1,Big Ten,MAC,1
Loyola Marymount,Georgetown,1,0,WCC,Big East,1
Santa Clara,Oregon State,4,0,WCC,Pac-12,1
Memphis,Mississippi,0,1,AAC,SEC,1
Albany,La Salle,0,1,Am East,A10,1
Alcorn State,South Alabama,0,8,SWAC,Sun Belt,1
Appalachian State,George Mason,3,0,Sun Belt,A10,1
Arizona State,Mississippi State,0,0,Pac-12,SEC,1
Arkansas State,Southern University,4,1,Sun Belt,SWAC,1
Auburn,Troy,0,5,SEC,Sun Belt,1
Austin Peay,Lindenwood,0,2,Atlantic Sun,OVC,1
Bellarmine,Northern Kentucky,3,3,Atlantic Sun,Horizon,1
Binghamton,Canisius,0,0,Am East,MAAC,1
Bucknell,George Washington,3,1,Patriot,A10,1
Butler,Illinois State,0,3,Big East,MVC,1
CSU Bakersfield,Fresno State,2,1,Big West,Mountain West,1
Charlotte,NC State,1,2,AAC,ACC,1
Chicago State,Western Illinois,1,0,Indep.,OVC,1
Clemson,Gardner-Webb,0,9,ACC,Big South,1
College of Charleston,Utah,2,0,CAA,Pac-12,1
Colorado,Marquette,1,0,Pac-12,Big East,1
Colorado College,Denver,2,2,Mountain West,Summit,1
Colorado State,Louisiana Tech,3,0,Mountain West,C-USA,1
Connecticut,Boston University,2,0,Big East,Patriot,1
Creighton,Missouri,1,3,Big East,SEC,1
Dayton,Cincinnati,1,4,A10,Big 12,1
Detroit Mercy,Morehead State,2,5,Horizon,OVC,1
Duquesne,American,0,5,A10,Patriot,1
East Tennessee State,Davidson,0,2,Southern,A10,1
Eastern Illinois,Illinois-Springfield,1,3,OVC,Great Lakes Valley,1
Eastern Kentucky,Western Michigan,2,1,Atlantic Sun,MAC,1
Elon,Wofford,3,0,CAA,Southern,1
Fairfield,Massachusetts-Lowell,1,1,MAAC,Am East,1
Fairleigh Dickinson,Monmouth,4,0,Northeast,CAA,1
Faulkner,Alabama State,1,1,Southern States,SWAC,1
Florida,Maryland,1,0,SEC,Big Ten,1
Fordham,Wagner,0,4,A10,Northeast,1
Furman,Georgia Southern,1,2,Southern,Sun Belt,1
Georgia State,Murray State,0,3,Sun Belt,MVC,1
Grand Canyon,Wright State,4,0,WAC,Horizon,1
Hampton University,USC Upstate,3,0,CAA,Big South,1
Hawaii,Gonzaga,5,7,Big West,WCC,1
Holy Cross,Northeastern,3,1,Patriot,CAA,1
Houston,Southeastern Louisiana,2,5,Big 12,Southland,1
IUPUI,Southern Illinois,0,2,Horizon,MVC,1
Idaho,Washington,3,1,Big Sky,Pac-12,1
Incarnate Word,Prairie View A&M,7,0,Southland,SWAC,1
Indiana,Virginia Tech,0,0,Big Ten,ACC,1
Iowa,UMKC,0,2,Big Ten,Summit,1
Jacksonville State,South Carolina State,0,13,C-USA,Indep.,1
James Madison,UNC Greensboro,0,3,Sun Belt,Southern,1
Kennesaw State,Presbyterian,1,0,Atlantic Sun,Big South,1
Kent State,Colgate,1,1,MAC,Patriot,1
LSU,Southern Mississippi,4,1,SEC,Sun Belt,1
Lafayette,Mount St. Mary's,0,1,Patriot,MAAC,1
