Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference
UC Santa Barbara,St. Mary's (CA),0,0,Big West,WCC
UMBC,Bryant,2,2,Am East,Am East
UNC Greensboro,East Carolina,0,1,Southern,AAC
UNC Wilmington,College of Charleston,1,0,CAA,CAA
Utah Tech,Idaho State,4,3,WAC,Big Sky
VMI,Liberty,0,2,Southern,C-USA
Villanova,Cornell,1,1,Big East,Ivy
Wagner,LIU,2,0,Northeast,Northeast
Wisconsin-Milwaukee,Detroit Mercy,2,0,Horizon,Horizon
Youngstown State,Northern Kentucky,2,1,Horizon,Horizon
